symbol,name,current_mv
OPTN,"Optinose, Inc.","210,331 USD"
FUNC,First United Corp.,"210,292 USD"
FRD,"Friedman Industries, Inc.","210,143 USD"
CWBC,Community West Bancshares,"210,087 USD"
AAME,Atlantic American Corp.,"21,919 USD"
GLBZ,Glen Burnie Bancorp,"21,835 USD"
SVT,"Servotronics, Inc.","21,230 USD"
JOAN,"JOANN, Inc.","21,219 USD"
KNTE,"Kinnate Biopharma, Inc.","209,915 USD"
UNB,"Union Bankshares, Inc.","209,740 USD"
BGRY,"Berkshire Grey, Inc.","208,560 USD"
FNWB,First Northwest Bancorp,"208,288 USD"
WULF,"Terawulf, Inc.","207,462 USD"
CZWI,"Citizens Community Bancorp, Inc.","207,347 USD"
AE,"Adams Resources & Energy, Inc.","207,209 USD"
HRTG,"Heritage Insurance Holdings, Inc.","207,007 USD"
FINW,Finwise Bancorp,"206,826 USD"
FXNC,First National Corp.,"206,579 USD"
HNVR,"Hanover Bancorp, Inc.","206,177 USD"
OCUP,"Ocuphire Pharma, Inc.","205,811 USD"
NEOV,"NeoVolta, Inc.","204,547 USD"
BLZE,"Backblaze, Inc.","203,887 USD"
ACIC,United Insurance Holdings Corp.,"203,858 USD"
KFS,"Kingsway Financial Services, Inc.","203,228 USD"
STXS,"Stereotaxis, Inc.","203,111 USD"
DZSI,"DZS, Inc.","202,724 USD"
PEBK,"Peoples Bancorp of North Carolina, Inc.","202,207 USD"
CVM,CEL-SCI Corp.,"201,944 USD"
LPTV,"Loop Media, Inc.","201,783 USD"
BYRN,"Byrna Technologies, Inc.","201,202 USD"
PCTI,"PCTEL, Inc.","200,565 USD"
BKKT,"Bakkt Holdings, Inc.","200,093 USD"
CHCI,"Comstock Holding Cos., Inc.","20,632 USD"
 ,"SRAX, Inc.","2,993 USD"
IDYA,"Ideaya Biosciences, Inc.","2,983,020 USD"
UEC,Uranium Energy Corp.,"2,923,153 USD"
IPW,"iPower, Inc.","2,854 USD"
WNC,Wabash National Corp.,"2,848,425 USD"
YEXT,"Yext, Inc.","2,833,540 USD"
FBRT,"Franklin BSP Realty Trust, Inc.","2,752,987 USD"
MEG,"Montrose Environmental Group, Inc.","2,750,268 USD"
ETNB,"89bio, Inc.","2,739,696 USD"
CMCO,Columbus McKinnon Corp.,"2,678,550 USD"
ERNA,"Eterna Therapeutics, Inc.","2,653 USD"
STEL,"Stellar Bancorp, Inc.","2,604,836 USD"
SNPX,"Synaptogenix, Inc.","2,594 USD"
ZYNE,"Zynerba Pharmaceuticals, Inc.","2,567 USD"
NTST,NETSTREIT Corp.,"2,560,789 USD"
NSSC,"Napco Security Technologies, Inc.","2,560,358 USD"
NVTS,Navitas Semiconductor Corp.,"2,517,036 USD"
CBAY,"Cymabay Therapeutics, Inc.","2,515,259 USD"
ICHR,Ichor Holdings Ltd.,"2,500,050 USD"
AEHR,Aehr Test Systems,"2,498,430 USD"
PW,Power REIT,"2,496 USD"
HLX,"Helix Energy Solutions Group, Inc.","2,488,285 USD"
AQB,"AquaBounty Technologies, Inc.","2,482 USD"
ARR,"ARMOUR Residential REIT, Inc.","2,449,007 USD"
MNKD,MannKind Corp.,"2,444,670 USD"
PLL,"Piedmont Lithium, Inc.","2,423,820 USD"
ATEN,"A10 Networks, Inc.","2,410,633 USD"
CIR,"CIRCOR International, Inc.","2,404,601 USD"
OXBR,Oxbridge Re Holdings Ltd.,"2,377 USD"
SOPA,"Society Pass, Inc.","2,368 USD"
VRDN,"Viridian Therapeutics, Inc.","2,349,120 USD"
PLYM,"Plymouth Industrial REIT, Inc.","2,312,290 USD"
UUUU,"Energy Fuels, Inc.","2,294,766 USD"
BFI,"BurgerFi International, Inc.","2,291 USD"
CCRN,"Cross Country Healthcare, Inc.","2,264,090 USD"
WAVD,"WaveDancer, Inc.","2,254 USD"
CRNX,"Crinetics Pharmaceuticals, Inc.","2,248,157 USD"
VERV,"Verve Therapeutics, Inc.","2,226,450 USD"
WINA,Winmark Corp.,"2,223,227 USD"
NWLI,"National Western Life Group, Inc.","2,214,519 USD"
ARLO,"Arlo Technologies, Inc.","2,208,511 USD"
REPL,"Replimune Group, Inc.","2,206,457 USD"
TMST,TimkenSteel Corp.,"2,197,163 USD"
SIBN,"SI-BONE, Inc.","2,188,591 USD"
ASIX,"AdvanSix, Inc.","2,166,731 USD"
HWKN,"Hawkins, Inc.","2,154,110 USD"
AYRO,"AYRO, Inc.","2,133 USD"
BMRA,"Biomerica, Inc.","2,118 USD"
PEBO,"Peoples Bancorp, Inc.","2,113,221 USD"
EFC,"Ellington Financial, Inc.","2,107,729 USD"
INBX,"Inhibrx, Inc.","2,087,366 USD"
THR,"Thermon Group Holdings, Inc.","2,083,525 USD"
ACCD,"Accolade, Inc.","2,083,122 USD"
AVPT,"AvePoint, Inc.","2,068,819 USD"
NX,Quanex Building Products Corp.,"2,068,739 USD"
BLBX,"Blackboxstocks, Inc.","2,064 USD"
AVTA,"Avantax, Inc.","2,059,385 USD"
OSW,OneSpaWorld Holdings Ltd.,"2,059,311 USD"
UMH,"UMH Properties, Inc.","2,059,199 USD"
NIC,"Nicolet Bankshares, Inc.","2,043,412 USD"
CDMO,"Avid Bioservices, Inc.","2,031,014 USD"
OBK,"Origin Bancorp, Inc.","2,002,655 USD"
BOXL,Boxlight Corp.,2 USD
NBSE,"NeuBase Therapeutics, Inc.",2 USD
FNWD,Finward Bancorp,"199,910 USD"
PLBY,"PLBY Group, Inc.","198,788 USD"
DLTH,"Duluth Holdings, Inc.","198,027 USD"
AVAH,"Aveanna Healthcare Holdings, Inc.","196,794 USD"
MDWT,"Midwest Holding, Inc.","195,930 USD"
SGA,"Saga Communications, Inc.","195,316 USD"
NEON,"Neonode, Inc.","194,962 USD"
ELMD,"Electromed, Inc.","194,108 USD"
RAD,Rite Aid Corp.,"193,916 USD"
CDXC,ChromaDex Corp.,"193,732 USD"
NTIC,Northern Technologies International Corp.,"192,951 USD"
HBB,Hamilton Beach Brands Holding Co.,"192,360 USD"
IOR,"Income Opportunity Realty Investors, Inc.","19,229 USD"
SBFG,"SB Financial Group, Inc.","189,989 USD"
SSBI,Summit State Bank,"187,848 USD"
VATE,INNOVATE Corp.,"187,525 USD"
FFNW,"First Financial Northwest, Inc.","186,957 USD"
PAYS,"Paysign, Inc.","186,450 USD"
APEI,"American Public Education, Inc.","185,979 USD"
LRMR,"Larimar Therapeutics, Inc.","185,900 USD"
VTSI,"VirTra, Inc.","185,577 USD"
TACT,"TransAct Technologies, Inc.","185,006 USD"
ISSC,"Innovative Solutions and Support, Inc.","184,728 USD"
SFBC,"Sound Financial Bancorp, Inc.","183,795 USD"
ORN,"Orion Group Holdings, Inc.","183,572 USD"
SUP,"Superior Industries International, Inc.","183,467 USD"
VERU,"Veru, Inc.","183,260 USD"
ML,"Moneylion, Inc.","182,708 USD"
QMCO,Quantum Corp.,"182,650 USD"
PYXS,"Pyxis Oncology, Inc.","182,646 USD"
PFSW,"PFSweb, Inc.","182,427 USD"
ENZ,"Enzo Biochem, Inc.","181,768 USD"
RVPH,"Reviva Pharmaceuticals Holdings, Inc.","181,742 USD"
DMTK,"DermTech, Inc.","181,342 USD"
IMNM,"Immunome, Inc.","180,087 USD"
MLSS,"Milestone Scientific, Inc.","18,489 USD"
MNTX,"Manitex International, Inc.","179,903 USD"
GOCO,"GoHealth, Inc.","179,854 USD"
KRON,"Kronos Bio, Inc.","178,890 USD"
TAYD,"Taylor Devices, Inc.","178,204 USD"
SERA,"Sera Prognostics, Inc.","177,551 USD"
DARE,"Dare Bioscience, Inc.","177,220 USD"
LYRA,"Lyra Therapeutics, Inc.","176,385 USD"
PNRG,PrimeEnergy Resources Corp.,"175,685 USD"
PROV,"Provident Financial Holdings, Inc.","173,696 USD"
FSFG,"First Savings Financial Group, Inc.","173,356 USD"
IPSC,"Century Therapeutics, Inc.","172,100 USD"
UONEK,"Urban One, Inc.","171,906 USD"
LEE,"Lee Enterprises, Inc.","171,298 USD"
CMLS,"Cumulus Media, Inc.","171,142 USD"
PATI,"Patriot Transportation Holding, Inc.","17,798 USD"
AINC,"Ashford, Inc.","17,642 USD"
MAIA,"MAIA Biotechnology, Inc.","17,167 USD"
LTRPA,"Liberty TripAdvisor Holdings, Inc.","17,009 USD"
PSNL,"Personalis, Inc.","169,734 USD"
GRPH,"Graphite Bio, Inc.","169,663 USD"
CPHC,Canterbury Park Holding Corp.,"169,292 USD"
PPIH,"Perma-Pipe International Holdings, Inc.","168,555 USD"
BWEN,"Broadwind, Inc.","168,309 USD"
ROOT,"Root, Inc.","167,098 USD"
ETON,"Eton Pharmaceuticals, Inc.","165,981 USD"
CLPR,"Clipper Realty, Inc.","165,564 USD"
BCLI,"BrainStorm Cell Therapeutics, Inc.","165,055 USD"
IPWR,"Ideal Power, Inc.","164,645 USD"
FGBI,"First Guaranty Bancshares, Inc.","164,644 USD"
AUGX,"Augmedix, Inc.","163,526 USD"
LCUT,"Lifetime Brands, Inc.","162,895 USD"
ABEO,"Abeona Therapeutics, Inc.","162,893 USD"
STRT,Strattec Security Corp.,"162,872 USD"
PRDS,"Pardes Biosciences, Inc.","162,811 USD"
DLHC,DLH Holdings Corp.,"161,755 USD"
ACR,ACRES Commercial Realty Corp.,"161,728 USD"
HMNF,"HMN Financial, Inc.","161,651 USD"
BSGM,"BioSig Technologies, Inc.","160,479 USD"
DRCT,"Direct Digital Holdings, Inc.","16,898 USD"
WYY,WidePoint Corp.,"16,859 USD"
ZIVO,"Zivo Bioscience, Inc.","16,231 USD"
IMPL,"Impel Pharmaceuticals, Inc.","16,180 USD"
DXYN,"Dixie Group, Inc. (The)","16,076 USD"
RMTI,"Rockwell Medical, Inc.","159,579 USD"
LTBR,Lightbridge Corp.,"158,962 USD"
AQST,"Aquestive Therapeutics, Inc.","158,878 USD"
CYT,"Cyteir Therapeutics, Inc.","158,002 USD"
UHG,"United Homes Group, Inc.","156,865 USD"
DLA,"Delta Apparel, Inc.","156,162 USD"
IMUX,"Immunic, Inc.","155,746 USD"
TCI,"Transcontinental Realty Investors, Inc.","155,641 USD"
CFBK,"CF Bankshares, Inc.","155,466 USD"
DSP,"Viant Technology, Inc.","155,435 USD"
CMCT,Creative Media & Community Trust Corp.,"154,231 USD"
GAN,GAN Ltd.,"154,003 USD"
EYEN,"Eyenovia, Inc.","153,609 USD"
NKTX,"Nkarta, Inc.","153,405 USD"
THRN,"Thorne HealthTech, Inc.","152,947 USD"
EEX,"Emerald Holding, Inc.","152,212 USD"
OMEX,"Odyssey Marine Exploration, Inc.","151,153 USD"
RPHM,"Reneo Pharmaceuticals, Inc.","150,847 USD"
VLCN,"Volcon, Inc.","15,786 USD"
TPET,Trio Petroleum Corp.,"15,175 USD"
LGL,"LGL Group, Inc. (The)","15,013 USD"
SCOR,"comScore, Inc.","149,897 USD"
MDWD,MediWound Ltd.,"149,824 USD"
FTHM,"Fathom Holdings, Inc.","149,762 USD"
ACNT,Ascent Industries Co.,"149,267 USD"
RLMD,"Relmada Therapeutics, Inc.","147,666 USD"
PRTH,"Priority Technology Holdings, Inc.","147,627 USD"
BBAI,"BigBear.ai Holdings, Inc.","147,413 USD"
MKTW,"MarketWise, Inc.","147,198 USD"
SURG,"SurgePays, Inc.","147,172 USD"
CLSD,"Clearside Biomedical, Inc.","146,013 USD"
SCX,LS Starrett Co. (The),"145,767 USD"
TESS,"TESSCO Technologies, Inc.","145,384 USD"
PTRS,Partners Bancorp,"145,366 USD"
 ,Zura Bio Ltd.,"144,951 USD"
ANTX,"AN2 Therapeutics, Inc.","144,780 USD"
TCBC,"TC Bancshares, Inc.","144,759 USD"
OPOF,Old Point Financial Corp.,"144,529 USD"
VNRX,VolitionRX Ltd.,"143,772 USD"
PRAX,"Praxis Precision Medicines, Inc.","143,053 USD"
LVOX,"LiveVox Holdings, Inc.","142,733 USD"
SYRS,"Syros Pharmaceuticals, Inc.","142,002 USD"
SPRO,"Spero Therapeutics, Inc.","141,565 USD"
GLSI,"Greenwich Lifesciences, Inc.","141,540 USD"
MAMA,"MamaMancini's Holdings, Inc.","140,684 USD"
BGXX,Bright Green Corp.,"140,448 USD"
SMSI,"Smith Micro Software, Inc.","140,170 USD"
ANEB,"Anebulo Pharmaceuticals, Inc.","14,499 USD"
PPSI,"Pioneer Power Solutions, Inc.","139,642 USD"
MGYR,"Magyar Bancorp, Inc.","138,461 USD"
 ,BlackRock Funds III,"138,317,541 USD"
ASMB,"Assembly Biosciences, Inc.","136,970 USD"
UBCP,"United Bancorp, Inc.","136,737 USD"
CRDF,"Cardiff Oncology, Inc.","136,575 USD"
ACU,Acme United Corp.,"136,023 USD"
BNED,"Barnes & Noble Education, Inc.","135,899 USD"
KTCC,Key Tronic Corp.,"135,513 USD"
CULP,"Culp, Inc.","135,428 USD"
LFT,"Lument Finance Trust, Inc.","134,594 USD"
RCUS,"MyMD Pharmaceuticals, Inc.","134,370 USD"
HSON,"Hudson Global, Inc.","134,323 USD"
HOWL,"Werewolf Therapeutics, Inc.","133,447 USD"
DBTX,"Decibel Therapeutics, Inc.","133,302 USD"
SONX,"Sonendo, Inc.","133,105 USD"
STIM,"Neuronetics, Inc.","133,003 USD"
RZLT,"Rezolute, Inc.","132,818 USD"
ELA,Envela Corp.,"132,554 USD"
CRVS,"Corvus Pharmaceuticals, Inc.","132,417 USD"
IDR,"Idaho Strategic Resources, Inc.","132,384 USD"
FRBK,"Republic First Bancorp, Inc.","132,078 USD"
 ,Forafric Global plc,"130,214 USD"
TLFA,"Tandy Leather Factory, Inc.","13,732 USD"
BLPH,"Bellerophon Therapeutics, Inc.","13,357 USD"
AFBI,"Affinity Bancshares, Inc.","129,567 USD"
TOON,"Kartoon Studios, Inc.","128,253 USD"
GORO,Gold Resource Corp.,"128,037 USD"
WMC,Western Asset Mortgage Capital Corp.,"126,912 USD"
SPRB,"Spruce Biosciences, Inc.","125,665 USD"
ISDR,Issuer Direct Corp.,"124,822 USD"
CULL,"Cullman Bancorp, Inc.","124,701 USD"
TZOO,Travelzoo,"124,339 USD"
KORE,"KORE Group Holdings, Inc.","123,870 USD"
BHM,"Bluerock Homes Trust, Inc.","123,310 USD"
VRAYQ,"ViewRay, Inc.","122,996 USD"
CIZN,Citizens Holding Co.,"121,744 USD"
SELF,"Global Self Storage, Inc.","121,346 USD"
OCEA,"Ocean Biomedical, Inc.","121,180 USD"
BKSC,Bank of South Carolina Corp.,"121,164 USD"
COGI,"Coda Octopus Group, Inc.","120,876 USD"
LFVN,Lifevantage Corp.,"120,095 USD"
OSA,"ProSomnus, Inc.","12,543 USD"
REFR,"Research Frontiers, Inc.","119,749 USD"
UONEK,"Urban One, Inc.","118,955 USD"
CLST,"Catalyst Bancorp, Inc.","117,756 USD"
RGS,Regis Corp.,"117,001 USD"
GANX,"Gain Therapeutics, Inc.","116,108 USD"
AUBN,"Auburn National BanCorp, Inc.","115,647 USD"
ULBI,Ultralife Corp.,"115,211 USD"
ADES,"Advanced Emissions Solutions, Inc.","114,732 USD"
LPTH,"LightPath Technologies, Inc.","114,562 USD"
FLUX,"Flux Power Holdings, Inc.","113,939 USD"
OESX,"Orion Energy Systems, Inc.","113,886 USD"
SRTS,"Sensus Healthcare, Inc.","113,838 USD"
AIRG,"Airgain, Inc.","113,092 USD"
OMIC,"Singular Genomics Systems, Inc.","113,078 USD"
XLO,"Xilio Therapeutics, Inc.","112,720 USD"
IVVD,"Invivyd, Inc.","112,541 USD"
CONN,"Conn's, Inc.","112,162 USD"
OSS,"One Stop Systems, Inc.","112,134 USD"
METCB,"Ramaco Resources, Inc.","111,872 USD"
FCUV,"Focus Universal, Inc.","111,809 USD"
STRM,"Streamline Health Solutions, Inc.","111,114 USD"
SND,"Smart Sand, Inc.","111,071 USD"
 ,"Contra CVR Catalyst, CVR","11,890 USD"
FLNT,"Fluent, Inc.","11,248 USD"
CRWS,"Crown Crafts, Inc.","108,762 USD"
SRT,"StarTek, Inc.","108,726 USD"
AXR,AMREP Corp.,"108,642 USD"
CVV,CVD Equipment Corp.,"108,634 USD"
PMCB,"PharmaCyte Biotech, Inc.","107,908 USD"
PRLD,"Prelude Therapeutics, Inc.","107,802 USD"
NL,"NL Industries, Inc.","107,581 USD"
NPCE,"NeuroPace, Inc.","107,302 USD"
PBHC,"Pathfinder Bancorp, Inc.","106,683 USD"
AP,Ampco-Pittsburgh Corp.,"106,590 USD"
BKTI,BK Technologies Corp.,"105,520 USD"
FUSB,"First US Bancshares, Inc.","105,235 USD"
FORA,"Forian, Inc.","104,708 USD"
BAFN,Bayfirst Financial Corp.,"104,260 USD"
QNCX,"Quince Therapeutics, Inc.","104,137 USD"
IDN,"Intellicheck, Inc.","103,720 USD"
PFIE,"Profire Energy, Inc.","103,656 USD"
LOAN,"Manhattan Bridge Capital, Inc.","103,434 USD"
GALT,"Galectin Therapeutics, Inc.","103,356 USD"
SLS,"SELLAS Life Sciences Group, Inc.","102,640 USD"
APT,Alpha Pro Tech Ltd.,"102,549 USD"
SLDB,"Solid Biosciences, Inc.","102,531 USD"
MEIP,"MEI Pharma, Inc.","102,253 USD"
RDI,"Reading International, Inc.","102,123 USD"
CSBR,"Champions Oncology, Inc.","101,823 USD"
LVLU,"Lulu's Fashion Lounge Holdings, Inc.","101,109 USD"
LNKB,"LINKBANCORP, Inc.","101,094 USD"
SOTK,Sono-Tek Corp.,"100,921 USD"
GIFI,"Gulf Island Fabrication, Inc.","100,747 USD"
MCHX,"Marchex, Inc.","100,708 USD"
BCOW,"1895 Bancorp of Wisconsin, Inc.","100,501 USD"
HCWB,"HCW Biologics, Inc.","100,482 USD"
HOOK,"Hookipa Pharma, Inc.","100,211 USD"
LUMO,"Lumos Pharma, Inc.","10,808 USD"
IMGN,"ImmunoGen, Inc.","10,704,026 USD"
TPHS,"Trinity Place Holdings, Inc.","10,624 USD"
XWEL,"XWELL, Inc.","10,331 USD"
CPIX,"Cumberland Pharmaceuticals, Inc.","10,289 USD"
NIR,"Near Intelligence, Inc.","10,214 USD"
SALM,"Salem Media Group, Inc.","10,074 USD"
RYTM,"Rhythm Pharmaceuticals, Inc.","1,983,021 USD"
GDEN,"Golden Entertainment, Inc.","1,982,156 USD"
AXLA,"Axcella Health, Inc.","1,966 USD"
LBAI,"Lakeland Bancorp, Inc.","1,964,152 USD"
BZH,"Beazer Homes USA, Inc.","1,952,576 USD"
OIGBQ,"Orbital Infrastructure Group, Inc.","1,941 USD"
CAL,"Caleres, Inc.","1,938,306 USD"
PRDO,Perdoceo Education Corp.,"1,931,004 USD"
LPG,Dorian LPG Ltd.,"1,928,547 USD"
PNT,"Point Biopharma Global, Inc.","1,916,335 USD"
BXC,"BlueLinx Holdings, Inc.","1,914,706 USD"
COGT,"Cogent Biosciences, Inc.","1,912,314 USD"
MVIS,"MicroVision, Inc.","1,900,512 USD"
UTL,Unitil Corp.,"1,887,477 USD"
LWLG,"Lightwave Logic, Inc.","1,871,138 USD"
QTRX,Quanterix Corp.,"1,860,330 USD"
RNA,"Avidity Biosciences, Inc.","1,836,304 USD"
FBMS,"First Bancshares, Inc. (The)","1,835,312 USD"
SPTN,SpartanNash Co.,"1,833,349 USD"
RXST,"RxSight, Inc.","1,830,125 USD"
NVRI,Enviri Corp.,"1,825,022 USD"
BFC,Bank First Corp.,"1,822,912 USD"
ADMA,"ADMA Biologics, Inc.","1,820,166 USD"
RDUS,"Schnitzer Steel Industries, Inc.","1,818,714 USD"
PKST,Peakstone Realty Trust,"1,816,168 USD"
GABC,"German American Bancorp, Inc.","1,803,855 USD"
BLFS,"BioLife Solutions, Inc.","1,802,410 USD"
COCO,"Vita Coco Co., Inc. (The)","1,801,392 USD"
SP,SP Plus Corp.,"1,789,908 USD"
VTLE,"Vital Energy, Inc.","1,789,294 USD"
 ,Babylon Holdings Ltd.,"1,781 USD"
THRY,"Thryv Holdings, Inc.","1,780,720 USD"
AOSL,Alpha & Omega Semiconductor Ltd.,"1,778,121 USD"
IMXI,"International Money Express, Inc.","1,777,395 USD"
SHYF,"Shyft Group, Inc. (The)","1,774,176 USD"
AKU,"Akumin, Inc.","1,773 USD"
NAT,Nordic American Tankers Ltd.,"1,766,995 USD"
MDXG,"MiMedx Group, Inc.","1,763,859 USD"
COLL,"Collegium Pharmaceutical, Inc.","1,745,676 USD"
SCSC,"ScanSource, Inc.","1,743,804 USD"
DCPH,"Deciphera Pharmaceuticals, Inc.","1,728,123 USD"
CHUY,"Chuy's Holdings, Inc.","1,723,992 USD"
HZO,"MarineMax, Inc.","1,711,109 USD"
DCGO,"DocGo, Inc.","1,708,348 USD"
IE,"Ivanhoe Electric, Inc.","1,705,071 USD"
BJRI,"BJ's Restaurants, Inc.","1,692,237 USD"
ACRS,"Aclaris Therapeutics, Inc.","1,688,288 USD"
AMRK,"A-Mark Precious Metals, Inc.","1,672,221 USD"
 ,Nano-X Imaging Ltd.,"1,665,779 USD"
MYE,"Myers Industries, Inc.","1,658,759 USD"
SMRT,"SmartRent, Inc.","1,654,395 USD"
KIDS,OrthoPediatrics Corp.,"1,632,448 USD"
ANIP,"ANI Pharmaceuticals, Inc.","1,628,627 USD"
MIRM,"Mirum Pharmaceuticals, Inc.","1,622,178 USD"
CRAI,"CRA International, Inc.","1,621,086 USD"
WTTR,"Select Water Solutions, Inc.","1,620,024 USD"
KOP,"Koppers Holdings, Inc.","1,608,633 USD"
SLP,"Simulations Plus, Inc.","1,605,810 USD"
LASR,"nLight, Inc.","1,594,875 USD"
VTOL,"Bristow Group, Inc.","1,593,050 USD"
QCRH,"QCR Holdings, Inc.","1,588,805 USD"
DX,"Dynex Capital, Inc.","1,585,383 USD"
EVLV,"Evolv Technologies Holdings, Inc.","1,585,326 USD"
AORT,"Artivion, Inc.","1,580,260 USD"
DENN,Denny's Corp.,"1,578,648 USD"
PLOW,"Douglas Dynamics, Inc.","1,573,511 USD"
ARCT,"Arcturus Therapeutics Holdings, Inc.","1,569,226 USD"
EBIX,"Ebix, Inc.","1,561,090 USD"
SXC,"SunCoke Energy, Inc.","1,556,119 USD"
KE,"Kimball Electronics, Inc.","1,553,635 USD"
MTW,"Manitowoc Co., Inc. (The)","1,540,181 USD"
EGLE,"Eagle Bulk Shipping, Inc.","1,531,227 USD"
RICK,"RCI Hospitality Holdings, Inc.","1,528,083 USD"
CHS,"Chico's FAS, Inc.","1,520,315 USD"
ETD,"Ethan Allen Interiors, Inc.","1,512,754 USD"
APLD,Applied Digital Corp.,"1,498,496 USD"
SOUN,"SoundHound AI, Inc.","1,493,770 USD"
OFIX,"Orthofix Medical, Inc.","1,490,618 USD"
TBPH,"Theravance Biopharma, Inc.","1,489,800 USD"
HAYN,"Haynes International, Inc.","1,483,588 USD"
AMBC,"Ambac Financial Group, Inc.","1,480,761 USD"
ACMR,"ACM Research, Inc.","1,477,464 USD"
ACHR,"Archer Aviation, Inc.","1,475,730 USD"
TRNS,"Transcat, Inc.","1,469,891 USD"
ID,"PARTS iD, Inc.","1,452 USD"
FPI,"Farmland Partners, Inc.","1,449,693 USD"
CLFD,"Clearfield, Inc.","1,447,632 USD"
FAT,"FAT Brands, Inc.","1,447 USD"
CNOB,"ConnectOne Bancorp, Inc.","1,443,380 USD"
BDGE,"Dime Community Bancshares, Inc.","1,437,550 USD"
UHT,Universal Health Realty Income Trust,"1,434,252 USD"
TITN,"Titan Machinery, Inc.","1,424,909 USD"
HY,"Hyster-Yale Materials Handling, Inc.","1,423,194 USD"
STKL,"SunOpta, Inc.","1,420,702 USD"
BLX,Banco Latinoamericano de Comercio Exterior SA,"1,418,789 USD"
UBA,"Urstadt Biddle Properties, Inc.","1,417,957 USD"
ADIL,"Adial Pharmaceuticals, Inc.","1,408 USD"
TWI,"Titan International, Inc.","1,405,990 USD"
HSTM,"HealthStream, Inc.","1,405,692 USD"
BELFB,"Bel Fuse, Inc.","1,402,699 USD"
OSPN,"OneSpan, Inc.","1,396,118 USD"
SWBI,"Smith & Wesson Brands, Inc.","1,393,050 USD"
CBLAQ,"CBL & Associates Properties, Inc.","1,390,261 USD"
HCCI,"Heritage-Crystal Clean, Inc.","1,387,006 USD"
CEVA,"CEVA, Inc.","1,386,854 USD"
GNK,Genco Shipping & Trading Ltd.,"1,379,373 USD"
DAWN,"Day One Biopharmaceuticals, Inc.","1,378,819 USD"
YORW,York Water Co. (The),"1,377,758 USD"
VSEC,VSE Corp.,"1,372,117 USD"
SNBR,Sleep Number Corp.,"1,369,429 USD"
BBSI,"Barrett Business Services, Inc.","1,368,778 USD"
ATEX,"Anterix, Inc.","1,367,931 USD"
CRMT,"America's Car-Mart, Inc.","1,364,192 USD"
KELYA,"Kelly Services, Inc.","1,363,261 USD"
IIIN,"Insteel Industries, Inc.","1,361,313 USD"
TCMD,"Tactile Systems Technology, Inc.","1,353,724 USD"
AVXL,Anavex Life Sciences Corp.,"1,340,296 USD"
FDMT,"4D Molecular Therapeutics, Inc.","1,331,199 USD"
PFC,Premier Financial Corp.,"1,329,884 USD"
OSBC,"Old Second Bancorp, Inc.","1,328,659 USD"
VVOS,"Vivos Therapeutics, Inc.","1,316 USD"
HCKT,"Hackett Group, Inc. (The)","1,306,737 USD"
GMRE,"Global Medical REIT, Inc.","1,303,855 USD"
XPER,"Xperi, Inc.","1,303,809 USD"
CTBI,"Community Trust Bancorp, Inc.","1,302,573 USD"
RAPT,"RAPT Therapeutics, Inc.","1,296,452 USD"
POWL,"Powell Industries, Inc.","1,296,020 USD"
LYEL,"Lyell Immunopharma, Inc.","1,294,015 USD"
FREQ,"Frequency Therapeutics, Inc.","1,293 USD"
ALNT,"Allied Motion Technologies, Inc.","1,290,541 USD"
AGEN,"Agenus, Inc.","1,287,766 USD"
HA,"Hawaiian Holdings, Inc.","1,287,543 USD"
VVI,Viad Corp.,"1,285,993 USD"
LAND,Gladstone Land Corp.,"1,279,570 USD"
KRUS,"Kura Sushi USA, Inc.","1,275,181 USD"
VERA,"Vera Therapeutics, Inc.","1,273,327 USD"
MRNS,"Marinus Pharmaceuticals, Inc.","1,270,479 USD"
REX,REX American Resources Corp.,"1,267,711 USD"
SHCR,"Sharecare, Inc.","1,267,466 USD"
BASE,"Couchbase, Inc.","1,264,588 USD"
DHC,Diversified Healthcare Trust,"1,264,396 USD"
TBI,"TrueBlue, Inc.","1,263,644 USD"
PFBC,Preferred Bank,"1,259,271 USD"
SRZN,"Surrozen, Inc.","1,259 USD"
BRY,Berry Corp.,"1,257,031 USD"
MCFT,"MasterCraft Boat Holdings, Inc.","1,256,773 USD"
GLDD,Great Lakes Dredge & Dock Corp.,"1,256,159 USD"
FC,Franklin Covey Co.,"1,253,922 USD"
CASS,"Cass Information Systems, Inc.","1,240,805 USD"
ACRE,Ares Commercial Real Estate Corp.,"1,235,631 USD"
DXPE,"DXP Enterprises, Inc.","1,234,081 USD"
CLW,Clearwater Paper Corp.,"1,233,851 USD"
UVSP,Univest Financial Corp.,"1,230,615 USD"
FCBC,"First Community Bankshares, Inc.","1,229,663 USD"
HSII,"Heidrick & Struggles International, Inc.","1,225,137 USD"
EBF,"Ennis, Inc.","1,220,354 USD"
ATRO,Astronics Corp.,"1,213,069 USD"
SBOW,"SilverBow Resources, Inc.","1,212,994 USD"
IIIV,"I3 Verticals, Inc.","1,211,008 USD"
GDYN,"Grid Dynamics Holdings, Inc.","1,205,506 USD"
TSVT,"2seventy bio, Inc.","1,194,332 USD"
CCO,"Clear Channel Outdoor Holdings, Inc.","1,193,486 USD"
RGP,"Resources Connection, Inc.","1,191,462 USD"
TILE,"Interface, Inc.","1,185,437 USD"
ASC,Ardmore Shipping Corp.,"1,185,427 USD"
CVGW,"Calavo Growers, Inc.","1,180,940 USD"
WRLD,World Acceptance Corp.,"1,177,814 USD"
DHIL,"Diamond Hill Investment Group, Inc.","1,168,609 USD"
