symbol,name,current_mv
MOVE,"Movano, Inc.","81,376 USD"
SIEB,Siebert Financial Corp.,"81,218 USD"
BW,"Babcock & Wilcox Enterprises, Inc.","809,161 USD"
AMPS,"Altus Power, Inc.","805,961 USD"
IRON,"Disc Medicine, Inc.","802,619 USD"
SMBK,"SmartFinancial, Inc.","801,011 USD"
CODX,"Co-Diagnostics, Inc.","80,444 USD"
MBIO,"Mustang Bio, Inc.","80,115 USD"
HYFM,"Hydrofarm Holdings Group, Inc.","80,107 USD"
COHN,"Cohen & Co., Inc.","8,938 USD"
BBGI,"Beasley Broadcast Group, Inc.","8,550 USD"
FORR,"Forrester Research, Inc.","799,713 USD"
EQBK,"Equity Bancshares, Inc.","799,191 USD"
IBCP,Independent Bank Corp.,"798,850 USD"
EU,Encore Energy Corp.,"798,763 USD"
CSTL,"Castle Biosciences, Inc.","794,951 USD"
AURA,"Aura Biosciences, Inc.","790,202 USD"
CURV,"Torrid Holdings, Inc.","79,745 USD"
BOLT,"Bolt Biotherapeutics, Inc.","79,508 USD"
CIX,"CompX International, Inc.","79,483 USD"
CCEL,"Cryo-Cell International, Inc.","79,449 USD"
UBX,"UNITY Biotechnology, Inc.","79,206 USD"
AMSWA,"American Software, Inc.","785,065 USD"
RMAX,"RE/MAX Holdings, Inc.","784,479 USD"
EWTX,"Edgewise Therapeutics, Inc.","781,169 USD"
PBBK,"PB Bankshares, Inc.","78,478 USD"
ARKR,Ark Restaurants Corp.,"78,458 USD"
HFBL,"Home Federal Bancorp, Inc. of Louisiana","78,362 USD"
VMD,"Viemed Healthcare, Inc.","778,087 USD"
JOUT,"Johnson Outdoors, Inc.","777,650 USD"
SMBC,"Southern Missouri Bancorp, Inc.","775,037 USD"
ALTG,"Alta Equipment Group, Inc.","773,473 USD"
OMER,Omeros Corp.,"771,566 USD"
OLP,"One Liberty Properties, Inc.","770,636 USD"
CABA,"Cabaletta Bio, Inc.","770,495 USD"
MRSN,"Mersana Therapeutics, Inc.","770,136 USD"
PRTG,"Portage Biotech, Inc.","77,699 USD"
SDOT,"Muscle Maker, Inc.","77,667 USD"
QUBT,"Quantum Computing, Inc.","77,587 USD"
WFCF,"Where Food Comes From, Inc.","77,519 USD"
ORGSD,"Orgenesis, Inc.","77,245 USD"
NM,"Navios Maritime Holdings, Inc.","77,155 USD"
FARO,"FARO Technologies, Inc.","769,354 USD"
MCBS,"Metrocity Bankshares, Inc.","768,769 USD"
LYTS,"LSI Industries, Inc.","766,951 USD"
CLSK,"Cleanspark, Inc.","766,095 USD"
CHRS,"Coherus Biosciences, Inc.","766,025 USD"
ALRS,Alerus Financial Corp.,"765,534 USD"
ITOS,"iTeos Therapeutics, Inc.","765,338 USD"
HTBI,"HomeTrust Bancshares, Inc.","762,673 USD"
NRDS,"NerdWallet, Inc.","760,206 USD"
ICCC,ImmuCell Corp.,"76,214 USD"
ALPN,"Alpine Immune Sciences, Inc.","759,928 USD"
MGNX,"MacroGenics, Inc.","759,432 USD"
SFIX,"Stitch Fix, Inc.","758,546 USD"
NBN,Northeast Bank,"757,894 USD"
GCI,"Gannett Co., Inc.","756,916 USD"
AVNW,"Aviat Networks, Inc.","756,331 USD"
TRDA,"Entrada Therapeutics, Inc.","754,759 USD"
TWOU,"2U, Inc.","752,119 USD"
CZFS,"Citizens Financial Services, Inc.","751,924 USD"
